tempid,latitude,longitude
1,37.789133,-122.417006
1,37.790795,-122.419066
1,37.7989,-122.398381
1,37.795441,-122.393832
1,37.793067,-122.402802
1,37.789641,-122.413616
2,37.796678,-122.416773
2,37.806919,-122.418919
2,37.795864,-122.423382
2,37.789345,-122.415625
2,37.788445,-122.415123
3,37.78711,-122.38816
3,37.78794,-122.38772
3,37.78968,-122.38839
3,37.79255,-122.39076
3,37.79373,-122.3923
3,37.79655,-122.39479
3,37.80071,-122.39857
3,37.80576,-122.40377
3,37.80701,-122.40586
3,37.80799,-122.40751
3,37.80829,-122.40888
3,37.80856,-122.41054
3,37.80861,-122.41254
3,37.80792,-122.41832
3,37.80716,-122.42267
3,37.80686,-122.42537
3,37.8078,-122.42655
3,37.80738,-122.42919
3,37.80572,-122.43
3,37.80515,-122.43098
3,37.80493,-122.43164
3,37.80518,-122.43209
3,37.80505,-122.43348
3,37.80613,-122.43553
3,37.80643,-122.43721
3,37.80522,-122.44669
3,37.80497,-122.44859
3,37.80621,-122.43989
3,37.8065,-122.43597
3,37.80514,-122.4337
3,37.80541,-122.43157
3,37.80624,-122.43063
3,37.80761,-122.4289
3,37.80764,-122.4265
3,37.80669,-122.42488
3,37.80733,-122.42237
3,37.80792,-122.41832
3,37.80861,-122.41254
3,37.80844,-122.41058
3,37.80835,-122.40907
3,37.80838,-122.40849
3,37.80776,-122.40763
3,37.80645,-122.40475
3,37.80452,-122.40208
3,37.79737,-122.39554
3,37.79655,-122.39479
3,37.79281,-122.39122
3,37.79142,-122.38944
3,37.78958,-122.38853
3,37.78855,-122.38815
3,37.78711,-122.38845
4,37.76304,-122.42621
4,37.76276,-122.43075
4,37.76252,-122.43451
4,37.76272,-122.43518
4,37.76241,-122.43644
4,37.76149,-122.43942
4,37.75744,-122.43894
4,37.75703,-122.43898
4,37.75651,-122.43902
4,37.75632,-122.4409
4,37.75641,-122.44091
4,37.75636,-122.44085
4,37.75634,-122.44109
4,37.75577,-122.44245
4,37.75528,-122.44245
4,37.75446,-122.44251
4,37.75278,-122.44375
4,37.75334,-122.44523
4,37.75259,-122.44546
